FIPS_CODE,fips,mean,_3_14_20,_6_14_20,_8_14_20,_11_2_20,newcases_all,newcases_p1,newcases_p2,newcases_p3,IncidenceRate,Population
02230,2230,1183,0,0,0,8,8,0,0,676.24683009,676.24683009,1183
02240,2240,6893,0,4,29,90,90,58.029885391,362.68678369,884.95575221,1305.6724213,6893
02261,2261,9202,0,13,105,182,182,141.27363617,999.78265594,836.77461421,1977.8309063,9202
02275,2275,2502,0,3,14,19,19,119.90407674,439.64828137,199.8401279,759.39248601,2502
02282,2282,579,0,1,12,37,37,172.71157168,1899.8272884,4317.7892919,6390.328152,579
02290,2290,5230,0,1,56,122,122,19.120458891,1051.625239,1261.9502868,2332.6959847,5230
04001,4001,71887,0,1972,3221,4006,4006,2743.1941798,1737.449052,1091.9915979,5572.6348297,71887
04003,4003,125922,0,216,1751,2205,2205,171.53475961,1219.0085926,360.54065215,1751.0840044,125922
04005,4005,143476,0,1368,3149,5429,5429,953.46956982,1241.3225905,1589.1159497,3783.9081101,143476
04007,4007,54018,0,70,982,1992,1992,129.58643415,1688.3261135,1869.7471213,3687.659669,54018
04009,4009,38837,1,50,584,1283,1282,126.16834462,1374.9774699,1799.830059,3300.9758735,38837
04011,4011,9498,0,11,57,104,104,115.81385555,484.31248684,494.84101916,1094.9673615,9498
04012,4012,21108,0,221,489,628,628,1046.9963995,1269.6607921,658.5180974,2975.175289,21108
04013,4013,4485414,4,18692,128352,160184,160180,416.63935592,2444.8133439,709.678081,3571.1307808,4485414
04015,4015,212181,0,589,3294,4453,4453,277.59318695,1274.8549587,546.23175496,2098.6799007,212181
04017,4017,110924,0,2619,5446,6545,6545,2361.0760521,2548.5918286,990.76845408,5900.4363348,110924
04019,4019,1047279,2,3910,19164,28914,28912,373.15748716,1456.5364148,930.98400713,2760.6779091,1047279
04021,4021,462789,5,1500,8665,12210,12205,323.04138603,1548.2217598,766.0078351,2637.2709809,462789
04023,4023,46498,0,970,2696,3066,3066,2086.1112306,3711.9876124,795.73314981,6593.8319928,46498
04025,4025,235099,0,374,2105,3079,3079,159.08191868,736.2855648,414.29355293,1309.6610364,235099
04027,4027,213787,0,3144,11766,14041,14041,1470.6226291,4032.986103,1064.1432828,6567.7520149,213787
05001,5001,17486,0,8,243,728,728,45.750886423,1343.9322887,2773.6474894,4163.3306645,17486
05003,5003,19657,0,41,342,576,576,208.57709722,1531.2611284,1190.415628,2930.2538536,19657
05005,5005,41932,0,14,81,785,785,33.387389106,159.78250501,1678.9087093,1872.0786035,41932
05007,5007,279141,0,1406,4879,8651,8651,503.68810028,1244.1740912,1351.288417,3099.1506085,279141
05009,5009,37432,0,9,223,1104,1104,24.04359906,571.70335542,2353.6011968,2949.3481513,37432
05011,5011,10763,0,34,213,374,374,315.89705472,1663.1050822,1495.865465,3474.867602,10763
05013,5013,5189,0,0,17,60,60,0,327.616111,828.67604548,1156.2921565,5189
05015,5015,28380,0,80,380,1051,1051,281.88865398,1057.0824524,2364.3410853,3703.3121917,28380
05017,5017,10118,0,49,887,1057,1057,484.2854319,8282.2692232,1680.1739474,10446.728602,10118
05019,5019,22320,0,45,185,533,533,201.61290323,627.24014337,1559.1397849,2387.9928315,22320
05021,5021,14551,0,20,143,519,519,137.4475981,845.30272833,2584.0148443,3566.7651708,14551
05023,5023,24919,0,75,210,502,502,300.97515952,541.75528713,1171.7966211,2014.5270677,24919
05025,5025,7956,0,20,115,259,259,251.38260432,1194.0673705,1809.9547511,3255.404726,7956
05027,5027,23457,0,28,227,760,760,119.36735303,848.36083046,2272.2428273,3239.9710108,23457
05029,5029,20846,0,21,161,361,361,100.73875084,671.59167226,959.41667466,1731.7470978,20846
